Test_case,Multiple AAA,Missing Assert,Assert Pre,Suppressed Exception,Obscure Assert,Multiple Act,Arrange&Quit,testSmellName
CalciteQueryTest.testGroupingSetsWithOrderByAggregator,,,,,,,,[]
CalciteQueryTest.testAnyAggregatorsOffHeapNumericNulls,,,,,,,,[]
MemoryOpenHashTableTest.testInsertRepeatedKeys,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Conditional Test Logic', 'Verbose Test']"
CalciteQueryTest.testOrderByAnyLong,,,,,,,,[]
SystemSchemaTest.testSupervisorTable,,,,,,,,"['Assertion Roulette', 'Sensitive Equality', 'Verbose Test']"
CalciteQueryTest.testUsingSubqueryWithLimit,,,,,,,,[]
QueryResourceTest.testGoodQueryWithNullAcceptHeader,,,,,,,,"['Assertion Roulette', 'Sensitive Equality', 'Verbose Test']"
GoogleCloudStorageInputSourceTest.testWithPrefixesSplit,,,,,,,,"['Assertion Roulette', 'Eager Test']"
StringLastBufferAggregatorTest.testBufferAggregateWithFoldCheck,,,,,,,,"['Eager Test', 'Conditional Test Logic', 'Verbose Test']"
CalciteQueryTest.testTopNFilterJoin,,,,,,,,[]
RendezvousHasherTest.testBasic,,,,,,,,"['Assertion Roulette', 'Conditional Test Logic']"
GranularityTest.testIncrementOverSpringForward,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Verbose Test']"
ImmutableConciseSetTest.testComplement10,,,,,,,,"['Unknown Test', 'Conditional Test Logic']"
BalanceSegmentsTest.testMoveToDecommissioningServer,,,,,,,,"['Assertion Roulette', 'Magic Number Test', 'Verbose Test']"
ReferenceCountingResourceHolderTest.testResourceHandlerWithReleaserClearedByJVM,,,,,,,,[]
RunRulesTest.testRunThreeTiersOneReplicant,,,,,,,,"['Assertion Roulette', 'Verbose Test']"
CalciteQueryTest.testGroupByExpressionFromLookup,,,,,,,,[]
GceAutoScalerTest.testIdToIp,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Magic Number Test', 'Verbose Test']"
IndexerSQLMetadataStorageCoordinatorTest.testUsedOverlapLow,,,,,,,,['Assertion Roulette']
LimitedBufferHashGrouperTest.testLimitAndBufferSwapping,,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Duplicate Assert', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
TaskMonitorTest.testRetry,,,,,,,,"['Assertion Roulette', 'Magic Number Test', 'Conditional Test Logic', 'Verbose Test']"
QuantileSqlAggregatorTest.testQuantileOnFloatAndLongs,,,,,,,,"['Assertion Roulette', 'Conditional Test Logic', 'Verbose Test']"
FinalizingFieldAccessPostAggregatorTest.testComparatorsWithFinalizingAndComparatorNull,,,,,,,,"['Assertion Roulette', 'Eager Test']"
ReferenceCountingResourceHolderTest.testResourceHandlerClearedByJVM,,,,,,,,[]
IndexMergerTestBase.testDisjointDimMerge,,,,,,,,[]
SqlSegmentsMetadataManagerTest.testMarkAsUsedNonOvershadowedSegments,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Magic Number Test', 'Verbose Test']"
KinesisSupervisorTest.testCheckpointForUnknownTaskGroup,,,,,,,,"['Assertion Roulette', 'Sleepy Test', 'Conditional Test Logic', 'Verbose Test']"
WorkerTaskManagerTest.testTaskRun,,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Magic Number Test', 'Verbose Test', 'Eager Test', 'Resource Optimism', 'Sleepy Test']"
SketchToStringPostAggregatorTest.test,,,,,,,,"['Assertion Roulette', 'Eager Test']"
ScanQueryRunnerTest.testSelectWithUnderscoreUnderscoreTime,,,,,,,,[]
FinalizingFieldAccessPostAggregatorTest.testComputedWithFinalizing,,,,,,,,"['Assertion Roulette', 'Eager Test']"
DecimalParquetInputTest.testReadParquetDecimali64,,,,,,,,[]
ImmutableConciseSetTest.testComplement5,,,,,,,,"['Unknown Test', 'Conditional Test Logic']"
CalciteQueryTest.testPruneDeadAggregatorsThroughHaving,,,,,,,,[]
RowBasedStorageAdapterTest.test_getAvailableDimensions,,,,,,,,['Assertion Roulette']
QueryableIndexIndexableAdapterTest.testGetBitmapIndex,,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Exception Catching Throwing', 'Magic Number Test', 'Mystery Guest', 'Eager Test', 'Resource Optimism']"
RealtimeIndexTaskTest.testHandoffTimeout,,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Magic Number Test', 'Verbose Test', 'Eager Test', 'Sleepy Test']"
IndexerZkConfigTest.testIndexerBaseOverride,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Conditional Test Logic', 'Verbose Test']"
VectorValueMatcherColumnProcessorFactoryTest.testSingleValueString,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Verbose Test']"
OrcHadoopInputRowParserTest.testDate1900,,,,,,,,"['Assertion Roulette', 'Magic Number Test']"
CalciteQueryTest.testUsingSubqueryAsPartOfOrFilter,,,,,,,,[]
CalciteQueryTest.testCountDistinctArithmetic,,,,,,,,[]
MarkAsUnusedOvershadowedSegmentsTest.testRun,,,,,,,,"['Eager Test', 'Unknown Test', 'Verbose Test']"
BloomFilterSqlAggregatorTest.testBloomFilterAggExtractionFn,,,,,,,,"['Assertion Roulette', 'Conditional Test Logic', 'Verbose Test']"
CalciteQueryTest.testFilterAndGroupByLookupUsingJoinOperatorAllowNulls,,,,,,,,[]
QueryResourceTest.testSecuredCancelQuery,,,,,,,,['Verbose Test']
CalciteQueryTest.testNullStringEquality,,,,,,,,[]
ExprsTest.test_decomposeAnd_basic,,,,,,,,"['Assertion Roulette', 'Magic Number Test', 'Conditional Test Logic']"
BloomDimFilterSqlTest.testBloomFilterVirtualColumn,,,,,,,,[]
GroupByQueryRunnerTest.testGroupByNumericStringsAsNumericWithDecoration,,,,,,,,[]
RemoteTaskActionClientTest.testSubmitSimple,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Mystery Guest', 'Verbose Test']"
KinesisSupervisorTest.testDatasourceMetadata,,,,,,,,"['Assertion Roulette', 'Verbose Test']"
TaskLifecycleTest.testKillUnusedSegmentsTask,,,,,,,,[]
KinesisIndexTaskTest.testReportParseExceptions,,,,,,,,"['Assertion Roulette', 'Magic Number Test', 'Verbose Test']"
CalciteQueryTest.testFilterOnTimeExtractWithMultipleDays,,,,,,,,[]
CuratorModuleTest.exhibitorEnsembleProvider,,,,,,,,[]
CalciteQueryTest.testFilterAndGroupByLookupUsingJoinOperatorWithNotFilter,,,,,,,,[]
SegmentLoaderLocalCacheManagerTest.testRetrySuccessAtFirstLocation,,,,,,,,"['Assertion Roulette', 'Resource Optimism', 'Verbose Test', 'Eager Test', 'Mystery Guest']"
TopNMetricSpecOptimizationsTest.testShouldOptimizeLexicographic,,,,,,,,[]
ImmutableConciseSetTest.testUnion5,,,,,,,,"['Unknown Test', 'Conditional Test Logic']"
TopNQueryRunnerTest.testFullOnTopNBoundFilterAndLongSumMetric,,,,,,,,[]
CalciteQueryTest.testExactCountDistinctUsingSubqueryWithWhereToOuterFilter,,,,,,,,[]
GroupByQueryRunnerTest.testGroupByWithNoResult,,,,,,,,[]
OvershadowableManagerTest.testAddCompleteOvershadowedToInCompletePartition,,,,,,,,"['Assertion Roulette', 'Duplicate Assert']"
CalciteQueryTest.testGroupByExtractFloorTime,,,,,,,,[]
SqlSegmentsMetadataManagerTest.testPollPeriodically,,,,,,,,"['Assertion Roulette', 'Eager Test']"
InitializationTest.testGetExtensionFilesToLoad_with_load_list,,,,,,,,"['Assertion Roulette', 'Resource Optimism', 'Mystery Guest']"
ImmutableConciseSetTest.testWordIteratorAdvanceTo2,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Conditional Test Logic']"
TimeseriesQueryQueryToolChestTest.testCacheKey,,,,,,,,"['Assertion Roulette', 'Verbose Test']"
DefaultTopNQueryMetricsTest.testDefaultTopNQueryMetricsQuery,,,,,,,,"['Assertion Roulette', 'Sensitive Equality', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
ImmutableConciseSetTest.testUnion16,,,,,,,,"['Unknown Test', 'Conditional Test Logic']"
KinesisSupervisorTest.testDiscoverExistingPublishingTask,,,,,,,,"['Assertion Roulette', 'Magic Number Test', 'Verbose Test']"
TimeBoundaryQueryRunnerTest.testFilteredTimeBoundaryQueryNoMatches,,,,,,,,[]
GroupByQueryRunnerTest.testSubqueryWithExtractionFnInOuterQuery,,,,,,,,[]
CalciteQueryTest.testNvlColumns,,,,,,,,[]
DoublesSketchSqlAggregatorTest.testDoublesSketchPostAggs,,,,,,,,[]
KinesisIndexTaskTest.testRunOneTaskTwoPartitions,,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Magic Number Test', 'Verbose Test', 'Sleepy Test']"
InfluxdbEmitterTest.testMetricIsInDefaultDimensionWhitelist,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Verbose Test']"
SearchQueryRunnerTest.testSearchWithCardinality,,,,,,,,"['Unknown Test', 'Verbose Test']"
ScanQueryRunnerTest.testFullOnSelectWithFilterAndLimit,,,,,,,,[]
InputRowSerdeTest.testThrowParseExceptions,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Verbose Test']"
AndDimFilterTest.testToFilterWithDuplicateFilters,,,,,,,,['Assertion Roulette']
CalciteQueryTest.testEarliestAggregators,,,,,,,,[]
CalciteQueryTest.testCountStarWithTimeFilterUsingStringLiterals,,,,,,,,[]
CalciteQueryTest.testInnerJoinMismatchedTypes,,,,,,,,[]
GroupByQueryRunnerTest.testSubqueryWithHyperUniquesPostAggregator,,,,,,,,[]
IncrementalIndexTest.testSingleThreadedIndexingAndQuery,,,,,,,,[]
CalciteQueryTest.testFilterOnTimeExtract,,,,,,,,[]
StreamChunkParserTest.testWithParserAndNullInputformatParseProperly,,,,,,,,['Unknown Test']
ReferenceCountingResourceHolderTest.testIdiomaticUsage,,,,,,,,"['Unknown Test', 'Conditional Test Logic']"
KafkaSupervisorTest.testDiscoverExistingPublishingTask,,,,,,,,"['Assertion Roulette', 'Magic Number Test', 'Verbose Test']"
RowBasedStorageAdapterTest.test_getColumnCapabilities_complex,,,,,,,,['Assertion Roulette']
KinesisIndexTaskTest.testSequencesFromContext,,,,,,,,"['Assertion Roulette', 'Duplicate Assert', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
SegmentLoaderLocalCacheManagerTest.testRetrySuccessAtSecondLocation,,,,,,,,"['Assertion Roulette', 'Resource Optimism', 'Verbose Test', 'Eager Test', 'Mystery Guest']"
IncrementalIndexStorageAdapterTest.testResetSanity,,,,,,,,[]
StringAnyBufferAggregatorTest.testBufferAggregate,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Conditional Test Logic']"
MultiValuedDimensionTest.testGroupByExpressionAuto,,,,,,,,[]
CalciteQueryTest.testGroupByWithFilterMatchingNothing,,,,,,,,[]
CalciteQueryTest.testAnyAggregatorsOnHeapNumericNulls,,,,,,,,[]
ResourcePoolTest.testCloseUnblocks,,,,,,,,"['Assertion Roulette', 'Verbose Test']"
KafkaSupervisorTest.testBadMetadataOffsets,,,,,,,,['Assertion Roulette']
CloudObjectLocationTest.testBucketName,,,,,,,,"['Assertion Roulette', 'Eager Test']"
RunRulesTest.testOneNodesOneTierOneReplicantCostBalancerStrategyNotEnoughSpace,,,,,,,,"['Assertion Roulette', 'Verbose Test']"
DefaultQueryMetricsTest.testDefaultQueryMetricsQuery,,,,,,,,"['Assertion Roulette', 'Sensitive Equality', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
SqlResourceTest.testUnauthorized,,,,,,,,"['Assertion Roulette', 'Exception Catching Throwing', 'Magic Number Test']"
ExpressionsTest.testOtherTimeCeil,,,,,,,,['Unknown Test']
CalciteQueryTest.testOrderByLatestLong,,,,,,,,[]
LoadQueuePeonTest.testFailAssign,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Magic Number Test', 'Verbose Test']"
VarianceGroupByQueryTest.testGroupByZtestPostAgg,,,,,,,,[]
TimeseriesQueryRunnerTest.testTimeseriesGrandTotal,,,,,,,,[]
DoublesSketchToQuantilesPostAggregatorTest.normalCase,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Magic Number Test', 'Conditional Test Logic']"
OverlordResourceTest.testGetTasksFilterPendingState,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Magic Number Test', 'Verbose Test']"
CalciteQueryTest.testMultiValueStringToStringToMultiValueString,,,,,,,,[]
CuratorModuleTest.emptyExhibitorHosts,,,,,,,,[]
CalciteQueryTest.testMultiValueStringOffsetOf,,,,,,,,[]
HashJoinSegmentStorageAdapterTest.test_makeCursors_factToRegionTheWrongWay,,,,,,,,"['Eager Test', 'Unknown Test', 'Verbose Test']"
AppenderatorDriverRealtimeIndexTaskTest.testReportParseExceptionsOnBadMetric,,,,,,,,[]
SQLMetadataRuleManagerTest.testAuditEntryCreated,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Magic Number Test', 'Verbose Test']"
CalciteQueryTest.testGroupByStringLength,,,,,,,,[]
CalciteQueryTest.testMultiValueStringWorksLikeStringGroupBy,,,,,,,,[]
DefaultGroupByQueryMetricsTest.testDefaultGroupByQueryMetricsQuery,,,,,,,,"['Assertion Roulette', 'Sensitive Equality', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
CalciteQueryTest.testRegexpLikeFilter,,,,,,,,[]
CalciteQueryTest.testLatestAggregators,,,,,,,,[]
CalciteQueryTest.testProjectAfterSort3WithoutAmbiguity,,,,,,,,[]
AvroOCFReaderTest.testParseWithReaderSchemaAlias,,,,,,,,"['Assertion Roulette', 'Exception Catching Throwing', 'Verbose Test']"
FixedBucketsHistogramBufferAggregatorTest.testBufferAggregate,,,,,,,,"['Eager Test', 'Magic Number Test', 'Conditional Test Logic', 'Verbose Test']"
RemoteTaskRunnerTest.testBlacklistZKWorkers25Percent,,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Magic Number Test', 'Verbose Test', 'Eager Test']"
OvershadowableManagerTest.testFallBackToStandbyOnRemove,,,,,,,,"['Assertion Roulette', 'Duplicate Assert']"
VersionedIntervalTimelineTest.testOvershadowedByReferenceAndThenVersion,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Verbose Test']"
OvershadowableManagerTest.testCopyVisible,,,,,,,,"['Assertion Roulette', 'Eager Test']"
ProtobufInputRowParserTest.testParseFlatData,,,,,,,,"['Assertion Roulette', 'Magic Number Test', 'Verbose Test', 'Print Statement', 'Redundant Assertion', 'Eager Test']"
CalciteQueryTest.testNullEmptyStringEquality,,,,,,,,[]
ImmutableConciseSetIntersectionTest.testIntersection2,,,,,,,,[]
CalciteQueryTest.testMultiValueStringAppend,,,,,,,,[]
ImmutableConciseSetTest.testUnion17,,,,,,,,"['Unknown Test', 'Conditional Test Logic']"
HashJoinSegmentStorageAdapterTest.test_makeCursors_factToCountryInnerUsingCountryNumberUsingLookup,,,,,,,,"['Eager Test', 'Unknown Test', 'Conditional Test Logic', 'Verbose Test']"
UnionDataSourceTest.test_withChildren_sameNumber,,,,,,,,"['Assertion Roulette', 'Eager Test']"
FileWriteOutBytesTest.writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Exception Catching Throwing', 'Magic Number Test']"
TDigestSketchSqlAggregatorTest.testQuantileOnNumericValues,,,,,,,,[]
GroupByQueryRunnerTest.testGroupByWithFirstLast,,,,,,,,[]
KafkaIndexTaskTest.testRunBeforeDataInserted,,,,,,,,"['Conditional Test Logic', 'Assertion Roulette', 'Magic Number Test', 'Verbose Test', 'Sleepy Test']"
KafkaSupervisorTest.testDiscoverExistingPublishingAndReadingTask,,,,,,,,"['Assertion Roulette', 'Magic Number Test', 'Verbose Test']"
IndexedTableJoinableTest.makeJoinMatcherWithDimensionSelectorOnString,,,,,,1.0,,"['Assertion Roulette', 'Magic Number Test']"
TaskSerdeTest.testIndexTaskwithResourceSerde,,,,,,1.0,,[]
DecimalParquetInputTest.testReadParquetDecimali32,,,,,,,1.0,[]
CalciteQueryTest.testCountStarWithTimeFilterUsingStringLiteralsInvalid,,,,1.0,,,,[]
SegmentIdTest.testInvalidFormat0,,,,,,,,['Assertion Roulette']
InlineFirehoseTest.testMultiline,,,,,,,,"['Assertion Roulette', 'Eager Test']"
PullDependenciesTest.testPullDependencies_root_hadoop_dependencies_dir_bad_state,,,,,,,,['Assertion Roulette']
ParseSpecTest.testDimensionSpecRequired,,,,,,,,[]
MakeDimensionProcessorTest.testMatchMultiValuedRowCardinalityKnownShouldThrowException,,,,,,,,[]
DimensionSelectorHavingSpecTest.testNullDimension,,,,,,,,[]
CSVParseSpecTest.testComma,,,,,,,,[]
HdfsDataSegmentKillerTest.testNoStorageDirectory,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Duplicate Assert', 'Verbose Test']"
DelimitedParseSpecTest.testDefaultColumnList,,,,,,,,[]
ParserTest.testLiteralArrayImplicitStringParseException,,,,,,,,['Unknown Test']
InitializationTest.testGetExtensionFilesToLoad_with_non_exist_item_in_load_list,,,,,,,,"['Resource Optimism', 'Mystery Guest']"
RootSchemaProviderTest.testGetShouldReturnRootSchemaWithProvidedSchemasRegistered,,,,,,,,['Assertion Roulette']
LookupJoinableTest.getCorrelatedColumnValuesForSearchValueAndRetrieveKeyColumnWithMaxLimitSetShouldHonorMaxLimit,,,,,,,,['IgnoredTest']
ArrayOfDoublesSketchToEstimateAndBoundsPostAggregatorTest.equalsAndHashCode,,,,,,,,"['Assertion Roulette', 'Eager Test', 'Redundant Assertion', 'Verbose Test']"
SubclassesMustOverrideEqualsAndHashCodeTest.testEqualsAndHashCode,,,,,,,,[]
ArrayOfDoublesSketchToMeansPostAggregatorTest.equalsAndHashCode,,,,,,,,"['Assertion Roulette', 'Redundant Assertion', 'Verbose Test']"
